Notifications,Benachrichtigungen
Allow,Erlauben
label,Kennzeichen
description,Beschreibung
"Enable notifications","Benachrichtigungen aktivieren"
"Almost there","Fast dort"
"Please confirm that you would like to recieve notifications in your browser.","Bitte bestätigen Sie, dass Sie Benachrichtigungen in Ihrem Browser erhalten möchten."
"Notification enabled","Benachrichtigung aktiviert"
"Yes, please","Ja, bitte"
"No, thank you","Nein, danke"
"Below settings work only when browser's settings allow sending push notifications.","Die folgenden Einstellungen funktionieren nur, wenn die Einstellungen des Browsers das Senden von Push-Benachrichtigungen zulassen."
"You will be notified about your order status.","Sie werden über den Lieferstatus benachrichtigt."
"Order status","Lieferstatus"
"Advertisements","Werbung"
"You will receive information about upcoming sales and promitions.","Sie werden über zukünftige Angebote und Rabattaktionen benachrichtigt"
"Enable push notifications","Push Benachrichtigungen aktivieren"
"Would you like to be informed about the delivery status of your order via push notifications?","Würden Sie gern über den Lieferstatus Ihrer Sendung per Push Benachrichtigung informiert werden?"
"No, thank you","Nein, danke"
"Push notifications settings","Einstellungen für Push Benachrichtigungen"
"Permission settings were saved correctly.","Die Berechtigungseinstellungen wurden korrekt gespeichert."
"Push notifications enabled","Push Benachrichtigungen aktiviert"
"Thank you! You will be informed when your order is shipped.","Danke für die Bestellung! Sie werden informiert, sobald die Bestellung versandt wird."
"You will receive information if product you've been interested in will be available again.","Danke. sie werden per E-Mail informiert, sobald der Artikel wieder an Lager ist."
"Back in stock","Verfügbarkeitsabo"
"Your order %1 was shipped","Ihre Bestellung %1 wurde versandt."
