"Advertisements","Advertisements"
"Allow","Allow"
"Almost there","Almost there"
"Below settings work only when browser's settings allow sending push notifications.","Below settings work only when browser's settings allow sending push notifications."
"Block","Block"
"description","description"
"Display notifications","Display notifications"
"Enable notifications","Enable notifications"
"label","label"
"No, thank you","No, thank you"
"Notification enabled","Notification enabled"
"Notifications","Notifications"
"Order status","Order status"
"Permission settings were saved correctly.","Permission settings were saved correctly."
"Please confirm that you would like to recieve notifications in your browser.","Please confirm that you would like to recieve notifications in your browser."
"Push notifications settings","Push notifications settings"
"Yes, please","Yes, please"
"You will be notified about your order status.","You will be notified about your order status."
"You will receive information about upcoming sales and promitions.","You will receive information about upcoming sales and promitions."
"Your session expired, please login again.","Your session expired, please login again."
